2025/05/02 20:47:28 2025-05-02 20:47:28.482489 +0700 WIB m=+52653.653436293~::1~POST~/api/v1/User~ "Header=>Connection:keep-alive | Signature:44590a4e2af79b37d719acc254e87d66 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Content-Length:215 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:47:28.490917 +0700 WIB m=+52653.661864709~13.458µs~
2025/05/02 20:47:28 2025-05-02 20:47:28.482479 +0700 WIB m=+52653.653427084~::1~POST~/api/v1/ListRole~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty | Sec-Gpc:1 | Signature:0ef3a498bf7cba678c24ddc4285d6211 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:164 | Sec-Ch-Ua-Platform:"macOS" | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Connection:keep-alive"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:47:28.501638 +0700 WIB m=+52653.672585584~16.375µs~
2025/05/02 20:47:35 2025-05-02 20:47:35.155159 +0700 WIB m=+52660.326106459~::1~POST~/api/v1/ListRole~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Content-Length:164 | Content-Type:application/json | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Signature:0ef3a498bf7cba678c24ddc4285d6211 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS""~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:47:35.167664 +0700 WIB m=+52660.338611501~31.458µs~
2025/05/02 20:47:35 2025-05-02 20:47:35.4805 +0700 WIB m=+52660.651447918~::1~POST~/api/v1/ListRole~ "Header=>Signature:0ef3a498bf7cba678c24ddc4285d6211 | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:164 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Fetch-Mode:cors"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:47:35.487392 +0700 WIB m=+52660.658339251~12.625µs~
2025/05/02 20:53:06 2025-05-02 20:53:06.50663 +0700 WIB m=+52991.677577543~::1~POST~/api/v1/ListRole~ "Header=>Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Content-Length:164 | Signature:0ef3a498bf7cba678c24ddc4285d6211 | Accept:*/* | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Type:application/json | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:53:06.534932 +0700 WIB m=+52991.705880043~12.084µs~
2025/05/02 20:53:06 2025-05-02 20:53:06.506317 +0700 WIB m=+52991.677264168~::1~POST~/api/v1/ListRole~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:164 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Connection:keep-alive | Signature:0ef3a498bf7cba678c24ddc4285d6211 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Content-Type:application/json | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS""~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:53:06.534932 +0700 WIB m=+52991.705880001~11.792µs~
2025/05/02 20:53:06 2025-05-02 20:53:06.506757 +0700 WIB m=+52991.677704626~::1~POST~/api/v1/User~ "Header=>Content-Length:215 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Accept:*/* | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:44590a4e2af79b37d719acc254e87d66 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:53:06.537036 +0700 WIB m=+52991.707983793~44.875µs~
2025/05/02 20:53:06 2025-05-02 20:53:06.506699 +0700 WIB m=+52991.677646501~::1~POST~/api/v1/User~ "Header=>Content-Type:application/json | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Signature:44590a4e2af79b37d719acc254e87d66 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Length:215 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Origin:http://localhost:3000"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:53:06.537998 +0700 WIB m=+52991.708945543~10.667µs~
2025/05/02 20:54:32 2025-05-02 20:54:32.493292 +0700 WIB m=+53077.664239251~::1~POST~/api/v1/ListRole~ "Header=>Sec-Fetch-Dest:empty | Signature:0ef3a498bf7cba678c24ddc4285d6211 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Connection:keep-alive | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:164 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:54:32.502344 +0700 WIB m=+53077.673291709~28.791µs~
2025/05/02 20:54:32 2025-05-02 20:54:32.493378 +0700 WIB m=+53077.664325293~::1~POST~/api/v1/User~ "Header=>Connection:keep-alive | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Content-Length:215 | Signature:44590a4e2af79b37d719acc254e87d66 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Dest:empty | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/"~{"UserName":"admin_testing","ParamKey":"MTc0NjE5MzAwMjI5NjQ4NQ==GCS3fIaaE4skBAGjTpPpTK0NVBIcDe","Method":"SELECT","Id":"","UsernameLogin":"","RoleId":"","Status":"","Page":1,"RowPage":20,"OrderBy":"","Order":"DESC"}~200~2025-05-02 20:54:32.503482 +0700 WIB m=+53077.674429168~5.584µs~
