2025/04/05 17:06:42 2025-04-05 17:06:42.349298 +0700 WIB m=+6642.195179376~::1~POST~/api/v1/Menu~ "Header=>Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Platform:"macOS" | Signature:0ad8fe7619fc5b37a1d419c0cf5ebc9f | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua-Mobile:?0 | Connection:keep-alive | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Content-Length:159 | Content-Type:application/json"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg0NjUxMzg3ODgzMw==sQ7y4jxfcSGrqaxSDNpDGB5n1W54SY","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 17:06:42.406882 +0700 WIB m=+6642.252762585~9.542µs~
2025/04/05 18:28:33 2025-04-05 18:28:33.472549 +0700 WIB m=+9968.760881710~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Connection:keep-alive | Content-Length:159 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | Signature:12a24e659d1aca2277e9da4f07002a9a | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Content-Type:application/json | Sec-Fetch-Site:same-site"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg1MjUxMzI2MzcxMw==P6iHcyfXV6IQheZVXj0tCANf12Olb2","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 18:28:33.488327 +0700 WIB m=+9968.776659376~13.916µs~
2025/04/05 18:31:01 2025-04-05 18:31:01.421083 +0700 WIB m=+10116.709415460~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Platform:"macOS" | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Content-Length:159 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Signature:12a24e659d1aca2277e9da4f07002a9a | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg1MjUxMzI2MzcxMw==P6iHcyfXV6IQheZVXj0tCANf12Olb2","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 18:31:01.435788 +0700 WIB m=+10116.724120376~24.625µs~
2025/04/05 20:48:53 2025-04-05 20:48:53.849289 +0700 WIB m=+15576.645824293~::1~POST~/api/v1/Menu~ "Header=>Sec-Gpc:1 | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:159 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Sec-Fetch-Site:same-site | Signature:4505ead9ba7bb1a9d10b3c8a23bb40b3"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 20:48:53.861481 +0700 WIB m=+15576.658016626~14.083µs~
2025/04/05 20:48:57 2025-04-05 20:48:57.943655 +0700 WIB m=+15580.740190960~::1~POST~/api/v1/Category~ "Header=>Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Signature:70be62e1d0b4bd4f518188baac3f0721 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Origin:http://localhost:3000 | Connection:keep-alive | Content-Length:172 | Sec-Fetch-Site:same-site"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 20:48:57.959103 +0700 WIB m=+15580.755638793~33.958µs~
2025/04/05 20:48:57 2025-04-05 20:48:57.945225 +0700 WIB m=+15580.741760626~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept:*/* | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Signature:4505ead9ba7bb1a9d10b3c8a23bb40b3 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 20:48:57.959107 +0700 WIB m=+15580.755642668~7.292µs~
2025/04/05 20:50:16 2025-04-05 20:50:16.724601 +0700 WIB m=+15659.521137043~::1~POST~/api/v1/Menu~ "Header=>Signature:4505ead9ba7bb1a9d10b3c8a23bb40b3 | Accept:*/* | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Type:application/json"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 20:50:16.734731 +0700 WIB m=+15659.531266543~19.375µs~
2025/04/05 20:56:37 2025-04-05 20:56:37.339129 +0700 WIB m=+16040.135664501~::1~POST~/api/v1/Menu~ "Header=>Content-Length:159 | User-Agent:Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Signature:4505ead9ba7bb1a9d10b3c8a23bb40b3 | Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | Accept:*/*"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 20:56:37.398608 +0700 WIB m=+16040.195143376~12.291µs~
2025/04/05 20:57:55 2025-04-05 20:57:55.377617 +0700 WIB m=+16118.174152501~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"Android" | Referer:http://localhost:3000/ | Sec-Gpc:1 | Connection:keep-alive | Sec-Ch-Ua-Mobile:?1 | Accept:*/* | Sec-Fetch-Site:same-site | Signature:4505ead9ba7bb1a9d10b3c8a23bb40b3 | User-Agent:Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Origin:http://localhost:3000 | Content-Length:159"~{"Username":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 20:57:55.410052 +0700 WIB m=+16118.206587710~18.5µs~
2025/04/05 20:57:55 2025-04-05 20:57:55.37745 +0700 WIB m=+16118.173985751~::1~POST~/api/v1/Category~ "Header=>Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Platform:"Android" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Accept:*/* | Connection:keep-alive | Content-Length:172 | Signature:70be62e1d0b4bd4f518188baac3f0721 | User-Agent:Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36 | Sec-Fetch-Site:same-site | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Sec-Fetch-Dest:empty"~{"UserName":"admin_gudang","ParamKey":"MTc0Mzg2MDkzMzY1NjIyNg==Evz3qY33Bn9ZjPC67qiqGdNQwp5Cvd","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 20:57:55.413492 +0700 WIB m=+16118.210027585~15.709µs~
