2025/04/05 11:03:32 2025-04-05 11:03:32.248357 +0700 WIB m=+5.485390543~::1~POST~/api/v1/MasterProduk~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Connection:keep-alive | Content-Length:256 | Sec-Ch-Ua-Platform:"macOS" | Sec-Gpc:1 | Origin:http://localhost:3000 | Signature:a839e23c03d330f429008fb63d1fe7aa | Accept:*/* | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Content-Type:application/json"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 11:03:32.330218 +0700 WIB m=+5.567251710~6.917µs~
2025/04/05 11:03:47 2025-04-05 11:03:47.458617 +0700 WIB m=+20.695650376~::1~POST~/api/v1/MasterProduk~ "Header=>Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Signature:a839e23c03d330f429008fb63d1fe7aa | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Content-Length:256 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 11:03:47.50978 +0700 WIB m=+20.746814085~16.5µs~
2025/04/05 11:07:36 2025-04-05 11:07:36.844442 +0700 WIB m=+250.081475335~::1~POST~/api/v1/Menu~ "Header=>Referer:http://localhost:3000/ | Signature:5e1bf9291dbcb485610b9c6cbb8df2c3 | Accept:*/* | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Connection:keep-alive | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Content-Type:application/json"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:07:36.852409 +0700 WIB m=+250.089442960~14.334µs~
2025/04/05 11:07:36 2025-04-05 11:07:36.844219 +0700 WIB m=+250.081252251~::1~POST~/api/v1/Category~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:172 | Signature:796b110c10a37243a688dcfa7408ef6d | Accept:*/* | Sec-Fetch-Dest:empty"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-05 11:07:36.855582 +0700 WIB m=+250.092615376~15.208µs~
2025/04/05 11:07:36 2025-04-05 11:07:36.844905 +0700 WIB m=+250.081939043~::1~POST~/api/v1/MasterProduk~ "Header=>Sec-Fetch-Mode:cors | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Gpc:1 | Connection:keep-alive | Content-Length:256 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Signature:a839e23c03d330f429008fb63d1fe7aa | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd"~{"UserName":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"SELECT","ProdukId":"","NamaProduk":"","KategoriIdProduk":"","UserInput":"","Status":"","Page":1,"RowPage":20,"OrderBy":"dbmp.tgl_input","Order":"DESC"}~200~2025-04-05 11:07:36.906485 +0700 WIB m=+250.143518460~14.625µs~
2025/04/05 11:08:36 2025-04-05 11:08:36.085894 +0700 WIB m=+309.322927668~::1~POST~/api/v1/MasterProduk~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Site:same-site | Connection:keep-alive | Accept:*/* | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Signature:96eaac461119fd72d7952cc05f9c6f12 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:353 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"INSERT","MasterProdukList":[{"produk_id":"6947731034390","nama_produk":"Hot Wheels 95 Toyota Celica GT-Four","kategori_produk":"10","harga_beli":50000,"harga_jual":40000,"unit":"","qty":1,"isi":"","tanggal_expired":"","user_input":"admin_gudang"}]}~200~2025-04-05 11:08:36.13531 +0700 WIB m=+309.372343293~14.667µs~
2025/04/05 11:09:31 2025-04-05 11:09:31.55603 +0700 WIB m=+364.793063501~::1~POST~/api/v1/MasterProduk~ "Header=>Content-Length:318 | Signature:9e8cc54e0b6426406c8f460b3fd5cff5 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Accept:*/* | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Origin:http://localhost:3000"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"INSERT","MasterProdukList":[{"produk_id":"8908001158305","nama_produk":"123","kategori_produk":"1","harga_beli":123,"harga_jual":123,"unit":"","qty":132,"isi":"","tanggal_expired":"","user_input":"admin_gudang"}]}~200~2025-04-05 11:09:31.585077 +0700 WIB m=+364.822110626~65.625µs~
2025/04/05 11:09:35 2025-04-05 11:09:35.054554 +0700 WIB m=+368.291588085~::1~POST~/api/v1/MasterProduk~ "Header=>Sec-Ch-Ua-Mobile:?0 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Signature:9e8cc54e0b6426406c8f460b3fd5cff5 | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:318"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"INSERT","MasterProdukList":[{"produk_id":"8908001158305","nama_produk":"123","kategori_produk":"1","harga_beli":123,"harga_jual":123,"unit":"","qty":132,"isi":"","tanggal_expired":"","user_input":"admin_gudang"}]}~200~2025-04-05 11:09:35.06899 +0700 WIB m=+368.306024168~16.417µs~
2025/04/05 11:09:47 2025-04-05 11:09:47.891572 +0700 WIB m=+381.128605335~::1~POST~/api/v1/MasterProduk~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Referer:http://localhost:3000/ | Content-Type:application/json | Content-Length:318 | Signature:9e8cc54e0b6426406c8f460b3fd5cff5 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"INSERT","MasterProdukList":[{"produk_id":"8908001158305","nama_produk":"123","kategori_produk":"1","harga_beli":123,"harga_jual":123,"unit":"","qty":132,"isi":"","tanggal_expired":"","user_input":"admin_gudang"}]}~200~2025-04-05 11:09:47.930043 +0700 WIB m=+381.167076376~15.625µs~
2025/04/05 11:12:26 2025-04-05 11:12:26.293405 +0700 WIB m=+539.530438960~::1~POST~/api/v1/MasterProduk~ "Header=>Content-Length:135 | Signature:dbbc6049832276652ffeb15d5aafa7e5 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Connection:keep-alive | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Accept:*/* | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors"~{"Username":"admin_gudang","ParamKey":"MTc0MzgyNTMxNzI0OTExNg==94msF7prU2oJ2pnT2K8uybCl0EoYI3","Method":"INSERT","MasterProdukList":[]}~200~2025-04-05 11:12:26.31649 +0700 WIB m=+539.553524043~35.792µs~Import data cannot null list
