2025/04/22 12:27:34 2025-04-22 12:27:34.829439 +0700 WIB m=+724.715273001~::1~POST~/api/v1/Menu~ "Header=>Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Referer:http://localhost:3000/ | Content-Length:159 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Signature:c2f96fc916a43bb2c8123c0f9915a624 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept:*/* | Sec-Fetch-Dest:empty | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTY0NDE2Mzg5Mw==mMDr9DZFqKqwEJ2P6iTdZdHC9mww3f","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:27:34.837162 +0700 WIB m=+724.722995459~14.291µs~
2025/04/22 12:29:55 2025-04-22 12:29:55.421062 +0700 WIB m=+865.306895459~::1~POST~/api/v1/Category~ "Header=>Sec-Fetch-Site:same-site | Sec-Ch-Ua-Mobile:?0 | Sec-Ch-Ua-Platform:"macOS" | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Fetch-Dest:empty | Connection:keep-alive | Accept:*/* | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Length:172 | Signature:e3a65f56bfa1fc7fb672bc615ba3bb72 | Sec-Gpc:1 | Referer:http://localhost:3000/"~{"UserName":"admin_gudang","ParamKey":"MTc0NTI5OTY0NDE2Mzg5Mw==mMDr9DZFqKqwEJ2P6iTdZdHC9mww3f","Method":"SELECT","Status":"1","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:29:55.444122 +0700 WIB m=+865.329955793~8.709µs~
2025/04/22 12:29:55 2025-04-22 12:29:55.420859 +0700 WIB m=+865.306692751~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Content-Length:159 | Referer:http://localhost:3000/ | Sec-Gpc:1 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Origin:http://localhost:3000 | Sec-Ch-Ua-Platform:"macOS" | Signature:c2f96fc916a43bb2c8123c0f9915a624 | Accept:*/* | Accept-Language:en-US,en;q=0.9"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTY0NDE2Mzg5Mw==mMDr9DZFqKqwEJ2P6iTdZdHC9mww3f","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:29:55.444235 +0700 WIB m=+865.330068418~3.584µs~
2025/04/22 12:29:56 2025-04-22 12:29:56.472668 +0700 WIB m=+866.358502168~::1~POST~/api/v1/Menu~ "Header=>Connection:keep-alive | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Content-Type:application/json | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Mode:cors | Signature:c2f96fc916a43bb2c8123c0f9915a624 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Accept-Encoding:gzip, deflate, br, zstd | Accept:*/* | Sec-Gpc:1 | Origin:http://localhost:3000"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTY0NDE2Mzg5Mw==mMDr9DZFqKqwEJ2P6iTdZdHC9mww3f","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:29:56.480566 +0700 WIB m=+866.366399543~21.25µs~
2025/04/22 12:33:50 2025-04-22 12:33:50.384014 +0700 WIB m=+1100.269847959~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Accept:*/* | Sec-Fetch-Site:same-site | Connection:keep-alive | Sec-Ch-Ua-Platform:"macOS" | Sec-Ch-Ua-Mobile:?0 | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Signature:c2f96fc916a43bb2c8123c0f9915a624 | Sec-Gpc:1 | Sec-Fetch-Dest:empty | Content-Length:159 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_gudang","ParamKey":"MTc0NTI5OTY0NDE2Mzg5Mw==mMDr9DZFqKqwEJ2P6iTdZdHC9mww3f","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:33:50.409623 +0700 WIB m=+1100.295456376~17.583µs~
2025/04/22 12:38:24 2025-04-22 12:38:24.428451 +0700 WIB m=+7.410794876~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Dest:empty | Accept-Encoding:gzip, deflate, br, zstd | Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Connection:keep-alive | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Signature:3acc2382dbeb4bdaee774dd8b935adf4 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Accept:*/* | Referer:http://localhost:3000/ | Sec-Gpc:1 | Sec-Fetch-Mode:cors | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Content-Type:application/json | Sec-Fetch-Site:same-site"~{"Username":"admin_gudang","ParamKey":"MTc0NTMwMDMwMzg5MTc5OQ==mBY23feC4Q3UwboF92YFyyMBF1M1eE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:38:24.457455 +0700 WIB m=+7.439798876~19.041µs~Error Execute data
2025/04/22 12:39:21 2025-04-22 12:39:20.947296 +0700 WIB m=+7.434170501~::1~POST~/api/v1/Menu~ "Header=>Content-Type:application/json | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Signature:3acc2382dbeb4bdaee774dd8b935adf4 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Origin:http://localhost:3000 | Referer:http://localhost:3000/ | Connection:keep-alive | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Gpc:1 | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Dest:empty"~{"Username":"admin_gudang","ParamKey":"MTc0NTMwMDMwMzg5MTc5OQ==mBY23feC4Q3UwboF92YFyyMBF1M1eE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:39:21.010997 +0700 WIB m=+7.497870709~18.458µs~Error Execute data
2025/04/22 12:39:41 2025-04-22 12:39:41.749635 +0700 WIB m=+3.434632251~::1~POST~/api/v1/Menu~ "Header=>Accept-Language:en-US,en;q=0.9 | Origin:http://localhost:3000 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Mode:cors | Accept-Encoding:gzip, deflate, br, zstd | Connection:keep-alive | Content-Length:159 | Signature:3acc2382dbeb4bdaee774dd8b935adf4 | Accept:*/* | Sec-Fetch-Dest:empty | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS""~{"Username":"admin_gudang","ParamKey":"MTc0NTMwMDMwMzg5MTc5OQ==mBY23feC4Q3UwboF92YFyyMBF1M1eE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:39:41.791739 +0700 WIB m=+3.476736626~16.792µs~
2025/04/22 12:40:59 2025-04-22 12:40:59.340357 +0700 WIB m=+2.070892209~::1~POST~/api/v1/Menu~ "Header=>Origin:http://localhost:3000 | Sec-Fetch-Mode:cors | Sec-Fetch-Dest:empty | Signature:3acc2382dbeb4bdaee774dd8b935adf4 | Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Gpc:1 | Accept-Encoding:gzip, deflate, br, zstd | Content-Length:159 | Sec-Ch-Ua-Platform:"macOS" | Accept:*/* | Connection:keep-alive | Accept-Language:en-US,en;q=0.9 | Sec-Fetch-Site:same-site | Sec-Ch-Ua-Mobile:?0 | Referer:http://localhost:3000/ | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Content-Type:application/json"~{"Username":"admin_gudang","ParamKey":"MTc0NTMwMDMwMzg5MTc5OQ==mBY23feC4Q3UwboF92YFyyMBF1M1eE","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:40:59.379855 +0700 WIB m=+2.110389793~13.292µs~
2025/04/22 12:41:10 2025-04-22 12:41:10.455055 +0700 WIB m=+13.185589918~::1~POST~/api/v1/Menu~ "Header=>Sec-Ch-Ua:"Not(A:Brand";v="99", "Brave";v="133", "Chromium";v="133" | Sec-Ch-Ua-Mobile:?0 | Sec-Fetch-Site:same-site | Sec-Fetch-Dest:empty | User-Agent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 | Signature:0c380f895986c5e8fe8abfcac1669bd1 | Accept:*/* | Accept-Language:en-US,en;q=0.9 | Referer:http://localhost:3000/ | Sec-Ch-Ua-Platform:"macOS" | Content-Length:158 | Sec-Fetch-Mode:cors | Connection:keep-alive | Content-Type:application/json | Sec-Gpc:1 | Origin:http://localhost:3000 | Accept-Encoding:gzip, deflate, br, zstd"~{"Username":"admin_admin","ParamKey":"MTc0NTMwMDQ2OTk4ODQ2NA==34E9tUhH1e7BbXNA263Mt82K5eWDjU","Method":"SELECT","Page":1,"RowPage":-1,"OrderBy":"","Order":""}~200~2025-04-22 12:41:10.467886 +0700 WIB m=+13.198421293~14.542µs~
